review,sentiment
"When it comes to movies, I don't easily discriminate between crap, pure crap and masterpieces. I believe this movie is an absolute masterpiece and it's hard to keep me entertained for more than 90 minutes. This movie ran SLOWER than Mystic River and Harry Potter 3 combined and I still managed to stay riveted to my seat. For me, it was the passion that Eric Bogosian put into his performance. It's extremely difficult to pull off such a stunt and manage to garner any positive effect from it. Bogosian probably nailed one of the toughest single-man performances in modern cinema. I didn't have any respect for Bogosian until the end of the film. The entire monologue minutes before the inexorable climax was the turning point, it was the key that turned me around. This man hit a point so low that he knew he could never recover from it. The corporate boys congratulated him on the performance. His blistering prose made even the slimiest one in the cavalcade shake his head in awe. It made me realize that personal integrity and hypocrisy don't matter in the world of talk radio, even in the corporate world for that matter. Stone may have been pushing some uber-liberal agenda but it was the actual movie and production that got my attention. Oliver Stone is a minor master of the moody. The final third of the film had probably the best lighting and cinematography I have seen in any film. Stone artfully makes the DJ booth feel like five-by-seven cell in a nineteenth century prison. Visually speaking, it appears that Bogosian's only friend is the black foam that absorbs his routine vitriol. He speaks and it doesn't speak back. It's a sad metaphor considering the way he treats the people who handed him his success. Stone and Bogosian carved out a stunning film of a man who is trapped in both a prison of walls and a prison of self. This man is confined to his own volition and he can never escape it. The scene that made me realize his conundrum was when he was unwilling to his ex-wife back. He preferred his own prison instead of the world on the outside. Every story has a conflict and it came down to the simplest of all conflicts: man versus himself. 'Talk Radio' presents this conflict in an intelligent, gripping, and artful fashion. There are no hidden messages in this film and the progression of events should be expected by any astute viewer. I just leaned back and let my mind be grasped by this film and I loved it. It's unheralded, unseen, and it will never receive its due recognition. Let's hope it stays that way because gems deserve to be found and then hidden again. It's a gem because I found it in the discount DVD bin at my local Wal-Mart store. For $5.50, it was worth the half-hour I spent digging trying to find it. I did and I got more than my money's worth. This is one of the best movies ever made and that is worth ten reasons alone. Ten reasons give a score of ten.<br /><br />Here ends my rant!",positive
"The very first image of the movie shows a mountain ridge in early morning autumn mist, and my thought was: ""This is almost too beautiful."" And it goes on like this: Images of landscape and animals that look like a series of romantic paintings, each of them perfect in every detail. Even the girl's room, her father's car - everything is nostalgic, romantic, beautiful. This could seem outdated and escapistic, but it fits a story that is itself of silent beauty, happening on the border between life and fairy tale, between Dian Fossey and Le Petit Prince. I enjoyed every minute of it. The extreme parsimony of the movie, having a simple, slow story, just one actor and hardly any special effects, exerted a strong magic. I therefore find it deplorable that this parsimony is given up in the last minutes, when suddenly two additional actors (the girl as a grown-up woman, and her son) are introduced. Another shortcoming is the music, which is often intrusive, Hollywood-like, and sometimes inappropriate: I couldn't bring an English pop-song together with French mountain glory. I went to the movie together with my two small daughters, but I recommend it to adults as well, given that they appreciate this kind of movie. Obviously, not everybody does.",positive
"'Anne Christie' was Garbo's 14th film and the first in which her husky Swedish voice was heard. She plays the lead character, Anna, who has struggled with being abandoned by her father Chris (a drunken barge owner played by George F Marion), and with the misfortune of the life she has has to lead to keep her head above water.<br /><br />Meeting Irish Matt (Charles Bickford) may mark the turning point for her ... or does it? Garbo looks and sounds great in this drama which, although looking rather clunky and moving at a slow pace, still manages to interest and engage an audience nearly 80 years later. Marie Dressler makes an impact in the role which gave her a second flush of movie success in films such as Min and Bill, Dinner at Eight, and Emma; while Marion and Bickford are more than adequate.<br /><br />An interesting slice of movie history. Garbo would do better talkies in the years following, but 'Anna Christie' will always be remembered for the first time she talked on screen.",positive
"This movie is definitely a case of style over substance but the style is good and certainly more than unique on its own to make ""The Cell"" a memorable and above average movie.<br /><br />""The Cell"" is beautifully looking with impressive sets, costumes and make-up. Yes, it's real eye candy to watch all. The movie has some perfectly 'dreamy' sequences that are certainly odd but also very beautiful and imaginative to look at. This movie is a perfect mix of an art-house type of movie and a typical Hollywood-thriller, that is accessible to both fans of the genre.<br /><br />The story itself is pretty far fetched and doesn't always make sense. Because of that the movie isn't always pleasant and likable to watch but like I mentioned before, the style compensates for this. The style makes you keep watching till the end and provides the best moments of the movie.<br /><br />Vincent D'Onofrio is unforgettable as the serial-killer with a twisted mind. Vincent D'Onofrio is really underused as an actor and this movie shows his talent once more. I'm not particularly happy about the casting of Jennifer Lopez. I know that she can act in some of her movies but she really wasn't suitable to play the main character in this movie. Her character wasn't strong enough and she was overshadowed by Vincent D'Onofrio and Vince Vaughn. Still I felt that Vince Vaughn was also miscast in this movie. He didn't fit the role well enough and no, I'm not saying that because I'm used of seeing him only in comedies now days. The rest of the supporting cast is good and still give the movie a certain degree of credibility.<br /><br />The musical score by Howard Shore was also surprising good and was sort of ""Se7en"" like at times. It suited the movie well and gave some of the scene's some extra mood and atmosphere.<br /><br />It's a far from perfect movie and the concept is far fetched and not always handled in the right way. Still ""The Cell"" is a perfectly watchable movie and perhaps even a bit of a must see, due to its style, originality and creativity.<br /><br />7/10",positive
"In 1990 Brad Pitt and Juiliette Lewis did a TV Too Young To Die where both played the almost the same kind of parts that they do in Kalifornia. I have no doubt that is what led to their casting in this big screen film.<br /><br />Kalifornia finds aspiring writer David Duchovny and his girl friend, art photographer Michelle Forbes on a rocky relationship of sorts due to Duchovny's obsession with writing a book and getting in the minds and souls of serial killers. In fact he's got a most unusual odyssey planned, he wants to go cross country and visit the sites of several famous serial killers. But he and Forbes are flat broke.<br /><br />Fate intervenes in more ways than financial with the arrival of Brad Pitt and Juliette Lewis a pair of strange southern types who agree to split the cost of gas on this cross country trip. It turns out Pitt is a serial killer himself and he decides to do a little research on his own, delving into the mind of someone who is fascinated with amorality.<br /><br />Kalifornia is not the type of film I usually go for, but in fact the acting ability and charisma of Brad Pitt make it work to a large degree. Pitt is the walking definition of an inbred Gothic refugee from Deliverance. But better than he is is Juliette Lewis who once again is playing these low self esteem types which she seems to do well. Watch her scene with Forbes as she does her hair and Lewis describes her sad and pathetic life. Lewis's dialog and Forbes's reactions ought to be shown in acting classes around the country.<br /><br />For those who like their slasher flicks, they don't come better than Kalifornia.",positive
"The Merchant of Venice 8/10<br /><br />(This review assumes a basic knowledge of the story and so may be thought of as containing spoilers to anyone unfamiliar with the plot.)<br /><br />As a film version of the famous Shakespeare play, Merchant of Venice does what few adaptations have done since Polanski's rather gritty Macbeth: it takes the spirit of the play and brings it out not just as well as, but better than the play alone could readily achieve. <br /><br />Lord of the Rings Director, Peter Jackson, has argued that in adapting a book or play there are three options: attempt to replicate the original as perfectly as possible, use the original idea as an inspiration but take full license for cinematic change, or (the one he avowedly preferred) stick to the original as much as is cinematic ally viable but make such changes as are necessary for the film and while remaining faithful to the intention or spirit of the original.<br /><br />In Macbeth, Polanski used the rain-sodden beaches and realistic rapes and murder to convey what a bloody and horrific period the play was set in, thus bringing to mind the horrific context in which the characters make such ill-advised decisions. It differs from (say) Branagh's Hamlet, which achieved new heights of faithful rendition, but otherwise offered little new. Macbeth, on the other hand, maybe enabled audiences fresh to Shakespeare to appreciate some of the drama's fullness without extensive study; similarly, more familiar audiences might find a greater depth than the unaided stage performance could accomplish. Such interpretation plays a vital part if audiences are to fully engage, not only intellectually but also emotionally, with the points Shakespeare wanted to make.<br /><br />Radford's adaptation of Merchant of Venice does just this. It takes crucial moral dilemmas involving religious bigotry or the keeping promises and, with minimal messing of the Bard's holy tome, conveys them faithfully within the spirit of the original story.<br /><br />The first of these, religious bigotry, gives meaning to Shylock's otherwise outlandish behaviour. We see the Jews of the period relegated to a walled ghetto, only allowed out if wearing an identifying red cap. Not being allowed to own property, one of the few ways they can earn a living is by money-lending. This makes them both useful to their Christian oppressors and at the same time the object of their vilification. The idea behind (both old and new testament) biblical prohibitions against usury probably stems from not making a profit by helping one's friends. This is extended by the bigoted Christians to curse those they spit on (we see Shylock not only spit on, but fellow Jews thrown into the waterways for sport - in an atmosphere that can only be described as threatening).<br /><br />The topicality of the film is curious, since the bigotry of right wing Christianity (as personified by Bush-following Americans) has turned full circle, as they are now the main supporters of Zionism, and the Jewish political leaders bite at their Palestinian neighbors much as Shylock tries to bite at Antonio (once he thinks the law gives him the power to do so). The psychology is self-evident - kick a dog repeatedly and it will become vicious. The circle easily continues as the victims of oppression themselves easily lose their sense of moral values and become oppressors.<br /><br />The stringent sleight of hand that the disguised Portia uses to save Antonio has some merit, both as a clever interpretation of the unsophisticated law that the Venetians of the play so rue and also as a moral pointer. Shylock may 'have his pound of flesh' according to his contract, but may not have any blood. An easy analogy could be made as far as warfare and terrorism goes - it is much easier to justify fighting among combatants or attacking ill-doers if soldiers or evil-doers are the only victims - when there is massive collateral damage, as when innocent citizens, including women and children, are killed in their hundreds, the warmongers' arguments (whether those warmongers be Israeli, Palestinian or US American) carry far less popular support. <br /><br />There has long been much argument whether Shakespeare was being anti-Semitic in this story. One wonders if he had to adapt the ending for a largely Christian audience who had little dealing with Jewish people. Far from teaching him a greater good, the ending enforces Christianity and humiliation upon Shylock - a course likely simply to perpetuate pent up resentment. Both camps look just as bad - one simply holds more power than the other. The slight amelioration of the judgment simply gives the Christian judges a better public image, or as Bassanio so acutely (observes when choosing the caskets and solving the riddles to win Portia's hand):<br /><br />In religion, What damned error, but some sober brow Will bless it and approve it with a text, Hiding the grossness with fair ornament? There is no vice so simple but assumes Some mark of virtue on his outward parts.<br /><br />Of course, the bigotry applies to organised religion (rather than spirituality), especially when organised for political purposes, but one that easily goads ordinary god-fearing people who are not in the habit of splitting hairs. The kindness, mercy ('Chesed' in Judaism) which is so fundamental to true Christianity, is something also practiced to a wonderful degree in Judaism as in most creeds. The Jewish faith distinguishes between kindness and charity, ways of practicing both effectively, and ways of making it part of one's being rather than just an outward show. Both Shylock and Antonio are bigoted and use their respective faiths to abuse those of another faith. While Shakespeare maybe pointed up the chasm between the goodness prescribed by different faiths and its absence in practice, the film version reduces much of the window for interpretations of anti-Semitism and brings a greater degree of realism to the psychological causes.<br /><br />The keeping of promises (the men to their wives) is dealt with less well, as are the comic elements inherent in the cross-dressing sub-plots. Bassanio, however strong his love for Antonio (are there homosexual elements there?) cannot make sound moral judgements when showing his gratitude to the 'judge', and so breaks his promise (for which Portia forgives him, displaying a triumphal character for women, not only as supremely intelligent and witty but also as more truly merciful and considerate of others than her bigoted male counterparts, including her husband.)<br /><br />Some of the acting is a bit stilted, and there are too many regional (English) accents, but on the whole Merchant of Venice delivers a fresh and rewarding reworking of Shakespeare. I enjoyed the acting, and also the very beautiful soundtrack by Hayley Westenra and others, singing ballads penned both by Shakespeare and Edgar Allen Poe. All in all, Merchant of Venice is a not inconsiderable achievement of British (as far as any film can be said to be of a particular nationality these days) cinematic tradition.",positive
"A nice, humorous mix of music hall (in the first third mostly) and police procedural mystery as the various suspects' stories start to collapse. The final exposure of the murder may come as a surprise if you don't watch closely. A gritty look at Paris of the time. You can ignore the final scene (the Hollywood ending). Louis Jouvet is best as the police inspector who seems to be just passing through, but is really on top of things.",positive
"Okay, now, I know there are millions of Americans who believe in The Rapture: that moment when all people born again in Christ will be raptured up to meet God and all the rest of humanity will be left on earth to perish in plagues and fire and the heartbreak of psoriasis as the Antichrist battles it out with Jesus (in an uncharacteristically warlike mode). And I know the books were best sellers. . .among believers, anyway. And I mean no disrespect to all that.<br /><br />But I have to say, they stuffed this movie into a sack and beat it with the Suck Stick.<br /><br />I'm sure the books are much better. Really.<br /><br />The plot needs no reprising. If you've watched this movie, chances are you read the book. I may be one of the only people on earth who actually watched this just for the sheer bad-moving-making experience, and I wasn't disappointed. Especially not by Kirk Cameron, the creepy little ""Growing Pains"" gremlin, who came of age on that show, found Christ, and decided that the SHOW should reflect his Christian values. Well, Kirk, your career has gone to the dogs, but now you can be happy that you're spreading the word of God in movies so bad, they never even make it to theatrical release. Well, that's not strictly true: I guess this was the only movie ever made that went to DVD FIRST, with a voucher for a free viewing of the movie when it was briefly released in theaters! I still have the voucher! How many people do you suppose showed up? I don't know about you, but it never came to my town. Of course, I live in NYC, where we Godless liberals sit around tearing pages out of the bible and use them to roll joints. So there you go. In fact, I'll bet out of three million people on Manhattan Island, not one would be raptured.<br /><br />Check out the supplementary materials on the DVD, where you'll learn the creepy behind the scenes details of these movies. . .the CAST and CREW all must be of the same religious mindset. They don't come right out and say this, but listen closely to what the filmmakers say. It's like a bunch of Pod People got together to make a Pod movie. How creepazoid is that? Honestly, this stuff just preaches to the converted, doesn't it? Can you imagine anyone who DOESN'T subscribe to the whole apocalypse thing watching this, slapping his forehead and saying, ""HOLY HOOVER DAM! I better get saved PRONTO!"" Anyhow, I'm hooked. I gotta see the rest of these Christian fiasco movies, especially the one with Gary Busey, which I think is TRIBULATIONS. At least Busey has an excuse for taking the part.. . .he cracked his head on some pavement when he crashed his motorcycle.<br /><br />Oy.<br /><br />Oh, and one more thing. What's with all the shots of poor,innocent dogs whimpering, their leashes dragging uselessly along the ground, because their owners have been called to heaven? What's up with that? Are we supposed to feel badly for the dogs, and if we do, what are we to make of God? Doesn't it IRK people that there's no room in heaven for man's best friend? Foo.<br /><br />This is one more reason I'm agnostic. Good night and good luck.",negative
"This movie is incredible.With great characters,specially the old swordsman that can fly in the shape of fireball and jump across the trees,this film tells a classic story of battle between good and forces of evil.The final showdown is specially breathtaking and the music score is kinda cool.<br /><br />Very,very recommendable.Not for the smallest children though.This one deserves a 10.",positive
"Unremarkable and unmemorable remake of an old, celebrated English film. Although it may be overly maligned as a total disaster (which it is not), it never builds any tension and betrays its TV origins. Richard Burton sleepwalks through his role, and Sophia Loren's closed (in this movie) face doesn't display much passion, either. (**)",negative
